,customer_id,recency,frequency,monetary,average_purchase_value,quantity_per_order,active_months,purchase_frequency,customer_loyalty_score,customer_risk_score,high_value_customer_flag,customer_tenure,avg_days_between_purchases,weekend_sales_ratio,customer_rank_by_revenue,churn_warning_flag,lost_one_time_buyer_flag
customer_id,1.0,0.0098216884009324,-0.017536261444044035,-0.008743553354787095,-0.070985608559422,-0.018989553897850026,-0.02191351173805119,-0.011812508535372345,0.004385874010008478,-0.027342511578013567,-0.0528328868361562,-0.010079911399266395,0.026634662772029773,0.031784360009953445,0.07714239809163884,-0.00964259814392541,0.014741444025244068
recency,0.0098216884009324,1.0,-0.2514834022570034,-0.12538176513155946,-0.07177959566766354,-0.005906501390143435,-0.43525208097813073,-0.1484267364869006,-0.6284809214610575,0.6118443314756852,-0.21893107520620836,0.2532206316960319,0.791604645978332,-0.029974552275104992,0.47550659506301196,0.19279185523257555,0.6754452927557176
frequency,-0.017536261444044035,-0.2514834022570034,1.0,0.635615504385143,0.07302873387225671,0.00581621303777747,0.6893600060685339,0.7978734546165568,0.4883460063654971,-0.13335391568764224,0.5228684200525492,0.312595343723194,-0.30706954767455585,-0.00981177605921326,-0.46468827969241655,0.053498879256451796,-0.19487723712471844
monetary,-0.008743553354787095,-0.12538176513155946,0.635615504385143,1.0,0.31409712282465185,0.08170191636959118,0.37007563142627564,0.5008080878694602,0.257028049228868,-0.08210878668897188,0.3758973739223716,0.1515186678257667,-0.1498801740116187,-0.023442954419118464,-0.2772066043599963,-0.0021564163660448494,-0.08681263716293851
average_purchase_value,-0.070985608559422,-0.07177959566766354,0.07302873387225671,0.31409712282465185,1.0,0.6270329285519548,0.06272366107911365,0.0216030043932712,0.22033304519562136,-0.04888094079504282,0.32006147494900866,-0.019606545716914222,-0.059995789853959106,-0.03380497250304111,-0.3822656649747038,-0.04450470627999289,-0.041494230297056005
quantity_per_order,-0.018989553897850026,-0.005906501390143435,0.00581621303777747,0.08170191636959118,0.6270329285519548,1.0,-0.00023411720832747479,-0.0021813537889529434,0.04222117718099437,0.01411157169028873,0.10832473599495243,-0.015032743646922822,-0.017447687533334102,-0.019705214720113724,-0.09372732288852266,0.004681769772815919,-0.009831872595703664
active_months,-0.02191351173805119,-0.43525208097813073,0.6893600060685339,0.37007563142627564,0.06272366107911365,-0.00023411720832747479,1.0,0.3730476633588012,0.8088125563042134,-0.26110037638294065,0.6250922065913534,0.5422492131575355,-0.4532647145604266,0.00554337898059185,-0.7498447509693881,0.051624172763918647,-0.3616015256660543
purchase_frequency,-0.011812508535372345,-0.1484267364869006,0.7978734546165568,0.5008080878694602,0.0216030043932712,-0.0021813537889529434,0.3730476633588012,1.0,0.3576957928856876,0.08817893669475133,0.34996223858744546,0.12716962994887038,-0.30719756175550844,-0.019505195663005556,-0.3128817661565005,0.24066226843221777,-0.2225612386359574
customer_loyalty_score,0.004385874010008478,-0.6284809214610575,0.4883460063654971,0.257028049228868,0.22033304519562136,0.04222117718099437,0.8088125563042134,0.3576957928856876,1.0,-0.36042440568141204,0.47931912201893345,0.3751538075544932,-0.5928607008344062,0.014770869244849452,-0.9351061010140505,0.06516178651430608,-0.5736721594783444
customer_risk_score,-0.027342511578013567,0.6118443314756852,-0.13335391568764224,-0.08210878668897188,-0.04888094079504282,0.01411157169028873,-0.26110037638294065,0.08817893669475133,-0.36042440568141204,1.0,-0.12906257991084252,0.01650179375923386,0.15308746098522047,-0.029363954976453558,0.2373997631343522,0.6694791339507495,0.27823619110407094
high_value_customer_flag,-0.0528328868361562,-0.21893107520620836,0.5228684200525492,0.3758973739223716,0.32006147494900866,0.10832473599495243,0.6250922065913534,0.34996223858744546,0.47931912201893345,-0.12906257991084252,1.0,0.2797375909945644,-0.2677354382463113,-0.01686345925340171,-0.5196753062005716,0.02515875082281595,-0.14682095915165347
customer_tenure,-0.010079911399266395,0.2532206316960319,0.312595343723194,0.1515186678257667,-0.019606545716914222,-0.015032743646922822,0.5422492131575355,0.12716962994887038,0.3751538075544932,0.01650179375923386,0.2797375909945644,1.0,0.32879626025751085,0.005923809170569386,-0.4085790362706758,0.1267956880587164,0.04181029326772934
avg_days_between_purchases,0.026634662772029773,0.791604645978332,-0.30706954767455585,-0.1498801740116187,-0.059995789853959106,-0.017447687533334102,-0.4532647145604266,-0.30719756175550844,-0.5928607008344062,0.15308746098522047,-0.2677354382463113,0.32879626025751085,1.0,-0.0033661388165712952,0.4674066597628568,-0.12175600306074363,0.5650344478920771
weekend_sales_ratio,0.031784360009953445,-0.029974552275104992,-0.00981177605921326,-0.023442954419118464,-0.03380497250304111,-0.019705214720113724,0.00554337898059185,-0.019505195663005556,0.014770869244849452,-0.029363954976453558,-0.01686345925340171,0.005923809170569386,-0.0033661388165712952,1.0,-0.0076476668735301605,-0.016252512654031936,-0.031969077747830116
customer_rank_by_revenue,0.07714239809163884,0.47550659506301196,-0.46468827969241655,-0.2772066043599963,-0.3822656649747038,-0.09372732288852266,-0.7498447509693881,-0.3128817661565005,-0.9351061010140505,0.2373997631343522,-0.5196753062005716,-0.4085790362706758,0.4674066597628568,-0.0076476668735301605,1.0,-0.08292084400378855,0.46283633312219674
churn_warning_flag,-0.00964259814392541,0.19279185523257555,0.053498879256451796,-0.0021564163660448494,-0.04450470627999289,0.004681769772815919,0.051624172763918647,0.24066226843221777,0.06516178651430608,0.6694791339507495,0.02515875082281595,0.1267956880587164,-0.12175600306074363,-0.016252512654031936,-0.08292084400378855,1.0,-0.11847897200046406
lost_one_time_buyer_flag,0.014741444025244068,0.6754452927557176,-0.19487723712471844,-0.08681263716293851,-0.041494230297056005,-0.009831872595703664,-0.3616015256660543,-0.2225612386359574,-0.5736721594783444,0.27823619110407094,-0.14682095915165347,0.04181029326772934,0.5650344478920771,-0.031969077747830116,0.46283633312219674,-0.11847897200046406,1.0
